Charge_in_mAh,Current,Voltage,Temperature
0,-0.0005,5.115,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1168,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.115,22.6944
0,-0.0005,5.1161,22.6944
0,0,5.115,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1147,22.6944
0,-0.0005,5.1161,22.6944
0,0,5.1154,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1147,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1147,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.115,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1147,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.115,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.115,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.115,22.6944
0,-0.0005,5.1161,22.6944
0,0,5.115,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,0,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1158,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.115,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.1161,22.6944
0,-0.0005,5.115,22.6944
0,-0.0005,5.1154,22.6944
0,-0.0005,5.1165,22.6944
0,-0.0005,5.1147,22.6944
0,-0.0005,5.1165,22.6944
