Charge_in_mAh,Current,Voltage,Temperature
0,-0.0011,5.1147,25.1846
0,-0.0011,5.1158,25.1846
0,-0.0011,5.1154,25.1846
0,-0.0011,5.1143,25.1846
0,-0.0011,5.1158,25.1846
0,-0.0011,5.1147,25.1846
0,-0.0011,5.1158,25.1846
0,-0.0011,5.1154,25.1846
0,-0.0011,5.1158,25.1846
0,-0.0011,5.1147,25.1846
0,-0.0011,5.1158,25.1846
0,-0.0011,5.1147,25.1846
0,-0.0011,5.1154,25.1846
0,-0.0011,5.115,25.1846
0,-0.0011,5.1158,25.1846
0,-0.0011,5.1147,25.1846
0,-0.0011,5.1158,25.1846
0,-0.0011,5.1147,25.1846
0,-0.0011,5.1154,25.1846
0,-0.0011,5.115,25.1846
0,-0.0011,5.1154,25.1846
0,-0.0011,5.1154,25.1846
0,-0.0011,5.1154,25.1846
0,-0.0011,5.1147,25.1846
0,-0.0011,5.1158,25.1846
0,0.0013,5.1168,25.1846
0,0.1978,5.1068,25.1846
0,0.8924,5.0355,25.1846
0,0.0013,5.1168,25.1846
0,0.8961,5.0196,25.1846
0,0.0013,5.119,25.1846
0,0.9547,5.0175,25.1846
0,0.9547,5.0153,25.1846
0,0.702,5.0499,25.1846
0,0.7533,6.1554,25.1846
0,0.7557,8.7886,25.4337
0,0.9547,8.7378,25.4337
0,1.5822,8.5484,25.4337
0,1.5822,8.5379,25.4337
0,1.5809,8.535,25.4337
2.5547,1.5809,8.5314,25.4337
2.5547,1.5809,8.5304,25.4337
2.5547,1.5822,8.5296,25.4337
2.5547,1.5822,8.5307,25.4337
2.5547,1.5809,8.5304,25.4337
2.5547,1.0047,8.5581,25.4337
2.5547,1.0267,8.683,25.6827
2.5547,1.0572,8.7043,25.6827
2.5547,1.0646,8.696,25.6827
5.1094,0.8302,8.7572,25.6827
5.1094,1.0011,8.7288,25.6827
5.1094,0.8558,8.7525,25.6827
5.1094,0.879,8.7504,25.6827
5.1094,0.8473,8.7619,25.6827
5.1094,0.8106,8.7493,25.6827
5.1094,0.8509,8.7558,25.6827
5.1094,0.8985,8.7597,25.6827
5.1094,0.8424,8.7399,25.6827
5.1094,0.7179,8.7497,25.6827
5.1094,1.0023,8.7201,25.6827
5.1094,0.9022,8.7399,25.6827
5.1094,0.8656,8.7187,25.6827
5.1094,0.923,8.7176,25.6827
7.6563,0.8412,8.7482,25.6827
7.6563,0.846,8.7284,25.6827
7.6563,0.9278,8.7205,25.6827
